SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,Comment_Vax,PctMetMinRequirements_Vax
Downtown Montessori,Downtown Montessori,Elementary School,K3,8,Non District Charter Schools,Regular,Charter,2507 S Graham St  Milwaukee WI  53207-1687,Milwaukee,1,30909,8101,1056,81011056,5500039,2153,42.998354,-87.903867,Report received,80
Forest Lane Community Sch,Montello,Elementary School,K4,5,Public school,Regular,No,222 Forest Ln  Montello WI  53949-9390,Marquette,5,9663,3689,10,36890010,5509870,1302,43.796797,-89.321955,Report received,80
Hampton Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,5000 N 53rd St  Milwaukee WI  53218-4333,Milwaukee,1,5233,3619,205,36190205,5509600,1181,43.109901,-87.977766,Report received,80
iLEAD Charter Sch,Mauston,High School,7,12,Public school,Regular,Charter,800 Grayside Ave  Mauston WI  53948,Juneau,5,678,3360,410,33600410,5508850,2863,43.787885,-90.088612,Report received,80
King Jr Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,3275 N 3rd St  Milwaukee WI  53212-2064,Milwaukee,1,4561,3619,199,36190199,5509600,1178,43.078191,-87.914204,Report received,80
LaFollette Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,3239 N 9th St  Milwaukee WI  53206-3251,Milwaukee,1,4564,3619,238,36190238,5509600,1202,43.076972,-87.923018,Report received,80
North Crawford Elementary ,North Crawford,Elementary School,K4,8,Public school,Regular,No,47050 County Road X  Soldiers Grove WI  54655-8551,Crawford,3,14630,2016,110,20160110,5504980,2244,43.369813,-90.808363,Report received,80
NOVA Tech,Milwaukee,High School,9,12,Public school,Vocational,Charter,225 W Capitol Dr  Milwaukee WI  53212,Milwaukee,1,943,3619,474,36190474,5509600,3010,43.088477,-87.912362,Report received,80
Pratt Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,5131 N Green Bay Ave  Milwaukee WI  53209-5753,Milwaukee,1,4715,3619,325,36190325,5509600,1243,43.110555,-87.933315,Report received,80
Riley Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,2424 S 4th St  Milwaukee WI  53207-1411,Milwaukee,1,4591,3619,313,36190313,5509600,1236,43.001221,-87.914776,Report received,80
South Division High School,Milwaukee,High School,9,12,Public school,Regular,No,1515 W Lapham Blvd  Milwaukee WI  53204-3236,Milwaukee,1,4485,3619,32,36190032,5509600,1247,43.013404,-87.929937,Report received,80
Waukesha Transition Acad,Waukesha,High School,12,12,Public school,Special Education,No,1150 Whiterock Ave  Waukesha WI  53186-4101,Waukesha,1,827,6174,415,61740415,5515780,2960,43.015878,-88.223904,Report received,80
Athens Middle School ,Athens,Middle School,6,8,Public school,Regular,No,601 W Village Limits Rd  Athens WI  54411-9552,Marathon,9,12443,196,60,1960060,5500570,88,45.030015,-90.085687,Report received,81
Butler Middle School ,Waukesha,Middle School,6,8,Public school,Regular,No,310 N Hine Ave  Waukesha WI  53188-4398,Waukesha,1,4108,6174,100,61740100,5515780,2008,43.016195,-88.247749,Report received,81
Carmen High School Southeast Campus,Milwaukee,High School,9,12,Public school,Regular,Charter,2500 W Oklahoma Ave  Milwaukee WI  53215-4437,Milwaukee,1,1525,3619,451,36190451,5509600,3054,42.989508,-87.94482,Report received,81
Frank Lloyd Wright Intermed,West Allis-West Milwaukee,Middle School,6,8,Public school,Regular,No,9501 W Cleveland Ave  West Allis WI  53227-3399,Milwaukee,1,5541,6300,40,63000040,5516260,2102,42.99465,-88.030922,Report received,81
Garland Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,3120 W Green Ave  Milwaukee WI  53221-4178,Milwaukee,1,5315,3619,191,36190191,5509600,1172,42.939987,-87.952994,Report received,81
Island City Acad,Cumberland,High School,7,12,Public school,Vocational,Charter,980 8th Ave  Cumberland WI  54829,Barron,11,794,1260,420,12600420,5503090,2962,45.528219,-92.031448,Report received,81
La Casa de Esperanza Charter,La Casa de Esperanza Charter,Elementary School,K4,8,Non District Charter Schools,Regular,Charter,410 Arcadian Ave  Waukesha WI  53186-5005,Waukesha,1,1448,8135,100,81350100,5500073,3031,43.012174,-88.222896,Report received,81
Lancaster Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,4931 N 68th St  Milwaukee WI  53218-3905,Milwaukee,1,5235,3619,241,36190241,5509600,1204,43.108322,-87.996757,Report received,81
Sherman Elementary ,Eau Claire Area,Elementary School,KG,5,Public school,Regular,No,3110 W Vine St  Eau Claire WI  54703-4898,Eau Claire,10,15314,1554,520,15540520,5504050,439,44.819758,-91.552774,Report received,81
Sherman Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,5110 W Locust St  Milwaukee WI  53210-1626,Milwaukee,1,4784,3619,319,36190319,5509600,1240,43.072537,-87.977899,Report received,81
Stockbridge Elementary ,Stockbridge,Elementary School,K4,5,Public school,Regular,No,110 School St  Stockbridge WI  53088,Calumet,7,2277,5614,20,56140020,5514520,1882,44.073659,-88.297946,Report received,81
Story Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,3815 W Kilbourn Ave  Milwaukee WI  53208-3113,Milwaukee,1,4642,3619,343,36190343,5509600,1249,43.04132,-87.961647,Report received,81
Washburn High School,Washburn,High School,9,12,Public school,Regular,No,305 W 4th St  Washburn WI  54891,Bayfield,12,17060,6027,40,60270040,5515540,1985,46.673853,-90.897371,Report received,81
Brown Street Acad,Milwaukee,Elementary School,K3,5,Public school,Regular,No,2029 N 20th St  Milwaukee WI  53205-1140,Milwaukee,1,4543,3619,89,36190089,5509600,2395,43.057261,-87.938186,Report received,82
Clement Avenue Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,3666 S Clement Ave  Milwaukee WI  53207-3566,Milwaukee,1,4587,3619,113,36190113,5509600,1142,42.977976,-87.893395,Report received,82
Coulee Montessori Charter Sch,La Crosse,Elementary School,K4,8,Public school,Regular,Charter,1611 Kane St  La Crosse WI  54601,La Crosse,4,48832,2849,140,28490140,5507530,1463,43.847485,-91.241446,Report received,82
George D Warriner Middle School ,Sheboygan Area,Middle School,6,8,Public school,Regular,Charter,712 Riverfront Dr Ste 101  Sheboygan WI  53081,Sheboygan,7,664,5271,220,52710220,5513650,2900,43.747153,-87.712221,Report received,82
Goodrich Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,8251 N Celina St  Milwaukee WI  53224-2713,Milwaukee,1,5456,3619,192,36190192,5509600,1173,43.166797,-88.038185,Report received,82
Madison Academic Campus,Milwaukee,High School,9,12,Public school,Regular,No,8135 W Florist Ave  Milwaukee WI  53218-1745,Milwaukee,1,304,3619,409,36190409,5509600,2700,43.125908,-88.01263,Report received,82
Nelson Elementary ,Grantsburg,Elementary School,K4,0,Public school,Regular,No,11486 State Road 70  Grantsburg WI  54840-7134,Burnett,11,16622,2233,120,22330120,5505670,604,45.772693,-92.573882,Report received,82
New Horizons for Learning,Shorewood,High School,9,12,Public school,Alternative,Charter,1701 E Capitol Dr  Shorewood WI  53211-1996,Milwaukee,1,143,5355,400,53550400,5513800,2623,43.087861,-87.889789,Report received,82
Northland Pines-Land O' Lakes,Northland Pines,Elementary School,K4,4,Public school,Regular,No,6485 Town Hall Rd  Land O' Lakes WI  54540,Vilas,9,13821,1526,80,15260080,5503860,405,46.158938,-89.222472,Report received,82
Obama SCTE,Milwaukee,Combined Elementary/Secondary School,K3,12,Public school,Regular,No,5075 N Sherman Blvd  Milwaukee WI  53209-5246,Milwaukee,1,917,3619,840,36190840,5509600,2993,43.109583,-87.968297,Report received,82
School of Technology and Arts I,La Crosse,Elementary School,KG,5,Public school,Regular,Charter,1111 7th St S  La Crosse WI  54601-5474,La Crosse,4,26908,2849,360,28490360,5507530,648,43.80001,-91.247061,Report received,82
Starms Discovery,Milwaukee,Elementary School,1,8,Public school,Regular,No,2035 N 25th St  Milwaukee WI  53205-1000,Milwaukee,1,26970,3619,312,36190312,5509600,2442,43.057077,-87.946247,Report received,82
Transition High School,Milwaukee,High School,9,12,Public school,Alternative,No,1940 N 36th St  Milwaukee WI  53208-1927,Milwaukee,1,384,3619,433,36190433,5509600,2760,43.055814,-87.957866,Report received,82
Bethune Acad,Milwaukee,Elementary School,K3,8,Public school,Regular,No,1535 N 35th St  Milwaukee WI  53208-2315,Milwaukee,1,4644,3619,356,36190356,5509600,1256,43.050797,-87.958513,Report received,83
Chain O Lakes Elementary ,Waupaca,Elementary School,K4,2,Public school,Regular,No,N3160 Silver Lake Dr  Waupaca WI  54981-9596,Waupaca,5,18283,6195,60,61950060,5515840,2033,44.35803,-89.08595,Report received,83
Chetek-Weyerhaeuser Middle School ,Chetek-Weyerhaeuser Area,Middle School,6,8,Public school,Regular,No,1001 Knapp St  Chetek WI  54728-9107,Barron,11,529,1080,200,10800200,5500061,2806,45.313695,-91.661452,Report received,83
Elm Creative Arts Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,900 W Walnut St  Milwaukee WI  53205-1761,Milwaukee,1,4544,3619,148,36190148,5509600,2438,43.053334,-87.923487,Report received,83
Fifty-Third Street Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,3618 N 53rd St  Milwaukee WI  53216-2952,Milwaukee,1,5092,3619,170,36190170,5509600,1162,43.083502,-87.978359,Report received,83
Glenwood City Middle School ,Glenwood City,Middle School,6,8,Public school,Regular,No,850 Maple St  Glenwood City WI  54013,Saint Croix,11,10120,2198,100,21980100,5505520,588,45.053079,-92.15456,Report received,83
Grantsburg Middle School ,Grantsburg,Combined Elementary/Secondary School,4,8,Public school,Regular,No,500 E James Ave  Grantsburg WI  54840,Burnett,11,16621,2233,100,22330100,5505670,603,45.774765,-92.675923,Report received,83
Hartland School of Community Lrn,Hartland-Lakeside J3,Elementary School,3,5,Public school,Regular,No,651 E Imperial Dr  Hartland WI  53029-2615,Waukesha,1,551,2460,110,24600110,5506140,2845,43.088261,-88.335089,Report received,83
High Marq Environmental Chrtr,Montello,High School,7,12,Public school,Regular,Charter,222 Forest Ln  Montello WI  53949-9390,Marquette,5,538,3689,420,36890420,5509870,2821,43.796797,-89.321955,Report received,83
Milw Parkside Sch,Milwaukee,Elementary School,K3,8,Public school,Regular,No,2969 S Howell Ave  Milwaukee WI  53207-2083,Milwaukee,1,4592,3619,362,36190362,5509600,2415,42.990877,-87.90556,Report received,83
Palmyra-Eagle Middle School ,Palmyra-Eagle Area,Middle School,7,8,Public school,Regular,No,123 Burr Oak St  Palmyra WI  53156,Jefferson,2,3576,4221,30,42210030,5511350,2418,42.873843,-88.592321,Report received,83
Park Falls Elementary ,Chequamegon,Elementary School,K4,5,Public school,Regular,No,380 9th St N  Park Falls WI  54552-1798,Price,12,451,1071,110,10710110,5500058,1523,45.946634,-90.455285,Report received,83
Prairie Lane Elementary ,Kenosha,Elementary School,K4,5,Public school,Regular,No,10717 47th Ave  Pleasant Prairie WI  53158-3526,Kenosha,1,3083,2793,440,27930440,5507320,821,42.519338,-87.86341,Report received,83
Sheboygan Leadership Acad,Sheboygan Area,Elementary School,K4,8,Public school,Regular,Charter,1305 St Clair Ave  Sheboygan WI  53081,Sheboygan,7,731,5271,105,52710105,5513650,2872,43.757011,-87.722056,Report received,83
Siren High School,Siren,High School,6,12,Public school,Regular,No,24022 4th Ave  Siren WI  54872-8114,Burnett,11,16923,5376,40,53760040,5513890,1817,45.785262,-92.377046,Report received,83
Three Lakes Jr High School,Three Lakes,Junior High School,7,8,Public school,Regular,No,6930 W School St  Three Lakes WI  54562-9010,Oneida,9,791,5733,300,57330300,5514850,2954,45.79515,-89.167317,Report received,83
Urban Middle School ,Sheboygan Area,Middle School,6,8,Public school,Regular,No,1226 North Ave  Sheboygan WI  53083-4799,Sheboygan,7,2083,5271,360,52710360,5513650,1798,43.774147,-87.72069,Report received,83
Amery Middle School ,Amery,Middle School,6,8,Public school,Regular,No,501 Minneapolis Ave S  Amery WI  54001-1565,Polk,11,9981,119,60,1190060,5500300,31,45.286253,-92.352499,Report received,84
Auer Avenue Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,2319 W Auer Ave  Milwaukee WI  53206-1735,Milwaukee,1,4559,3619,77,36190077,5509600,1124,43.076582,-87.941627,Report received,84
Barbee Elementary ,Milwaukee,Elementary School,K3,6,Public school,Regular,No,4456 N Teutonia Ave  Milwaukee WI  53209-6225,Milwaukee,1,4711,3619,188,36190188,5509600,1170,43.098011,-87.941447,Report received,84
De Soto Middle School ,De Soto Area,Middle School,6,8,Public school,Regular,No,615 Main St  De Soto WI  54624-8644,Vernon,4,14565,1421,50,14210050,5503240,366,43.428575,-91.195675,Report received,84
Edgar Middle School ,Edgar,Middle School,6,8,Public school,Regular,No,203 E Birch St  Edgar WI  54426,Marathon,9,12553,1561,23,15610023,5504080,2391,44.923885,-89.960157,Report received,84
Edward Bain School Creative Arts,Kenosha,Elementary School,K4,5,Public school,Regular,No,2600 50th St  Kenosha WI  53140-5811,Kenosha,1,73004,2793,150,27930150,5507320,2591,42.591092,-87.841386,Report received,84
Gibraltar Elementary ,Gibraltar Area,Elementary School,PK,6,Public school,Regular,No,3924 State Highway 42  Fish Creek WI  54212,Door,7,11353,2114,100,21140100,5505220,2245,45.127257,-87.230699,Report received,84
Green Lake Elementary ,Green Lake,Elementary School,K4,6,Public school,Regular,No,612 Mill St  Green Lake WI  54941,Green Lake,6,17791,2310,20,23100020,5505880,646,43.850698,-88.960056,Report received,84
Hayes Bilingual Sch,Milwaukee,Elementary School,K3,8,Public school,Regular,No,971 W Windlake Ave  Milwaukee WI  53204-3822,Milwaukee,1,26968,3619,214,36190214,5509600,680,43.007438,-87.923375,Report received,84
Horning Middle School ,Waukesha,Middle School,6,8,Public school,Regular,No,2000 Wolf Rd  Waukesha WI  53186-2697,Waukesha,1,3979,6174,210,61740210,5515780,2015,43.028538,-88.204179,Report received,84
Humboldt Park Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,3230 S Adams Ave  Milwaukee WI  53207-2706,Milwaukee,1,4590,3619,223,36190223,5509600,1190,42.985588,-87.902226,Report received,84
Jeffery Elementary ,Kenosha,Elementary School,K4,5,Public school,Regular,No,4011 87th St  Kenosha WI  53142-5078,Kenosha,1,3076,2793,310,27930310,5507320,814,42.547468,-87.8562,Report received,84
John Muir Middle School ,Wausau,Middle School,6,8,Public school,Regular,No,1400 W Stewart Ave  Wausau WI  54401-4294,Marathon,9,12141,6223,200,62230200,5515900,2054,44.960082,-89.65169,Report received,84
Kilbourn Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,5354 N 68th St  Milwaukee WI  53218-2901,Milwaukee,1,5234,3619,237,36190237,5509600,1197,43.114938,-87.995249,Report received,84
Mauston Montessori Charter Sch,Mauston,Elementary School,K4,3,Public school,Regular,Charter,c/o West Side Elementary Schoo 708 Loomis Dr Mauston WI  53948,Juneau,5,1036,3360,110,33600110,5508850,3030,43.79719,-90.07735,Report received,84
Milw Sign Language Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,7900 W Acacia St  Milwaukee WI  53223-5623,Milwaukee,1,5414,3619,226,36190226,5509600,1191,43.139571,-88.009169,Report received,84
Pulaski High School,Milwaukee,High School,9,12,Public school,Regular,No,2500 W Oklahoma Ave  Milwaukee WI  53215-4437,Milwaukee,1,5040,3619,26,36190026,5509600,1235,42.989508,-87.94482,Report received,84
Pulaski High School,Pulaski Community,High School,9,12,Public school,Regular,No,1040 S Saint Augustine St  Pulaski WI  54162-9516,Brown,7,11094,4613,100,46130100,5512330,1600,44.658928,-88.240404,Report received,84
Shalom High School,Milwaukee,High School,9,12,Public school,Alternative,No,1749 N 16th St  Milwaukee WI  53205-1624,Milwaukee,1,30934,3619,1074,36191074,5509600,856,43.053823,-87.933041,Report received,84
TAGOS Leadership Acad,Janesville,High School,7,12,Public school,Regular,Charter,1350 N Parker Dr  Janesville WI  53545-0724,Rock,2,292,2695,430,26950430,5507020,2691,42.702161,-89.028833,Report received,84
Thorp High School,Thorp,High School,9,12,Public school,Regular,No,605 S Clark St  Thorp WI  54771,Clark,10,16114,5726,40,57260040,5514820,1926,44.954161,-90.795763,Report received,84
Washburn Elementary ,Washburn,Elementary School,K4,6,Public school,Regular,No,411 W 8th St  Washburn WI  54891,Bayfield,12,17058,6027,10,60270010,5515540,2453,46.677907,-90.8987,Report received,84
Wedgewood Park Sch,Milwaukee,Middle School,6,8,Public school,Regular,No,6506 W Warnimont Ave  Milwaukee WI  53220-1344,Milwaukee,1,335,3619,204,36190204,5509600,2737,42.979498,-87.994825,Report received,84
Aldo Leopold Comm SchoolK-8,Green Bay Area Public,Combined Elementary/Secondary School,K4,8,Public school,Regular,No,622 Eliza St  Green Bay WI  54301-3229,Brown,7,11772,2289,20,22890020,5505820,610,44.500378,-88.017785,Report received,85
Altoona Middle School ,Altoona,Middle School,6,8,Public school,Regular,No,1903 Bartlett Ave  Altoona WI  54720-1799,Eau Claire,10,15355,112,60,1120060,5500270,27,44.803597,-91.440592,Report received,85
Barron High School,Barron Area,High School,9,12,Public school,Regular,No,1050 E Woodland Ave  Barron WI  54812-1762,Barron,11,16377,308,30,3080030,5500870,114,45.397255,-91.843435,Report received,85
Barton Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,5700 W Green Tree Rd  Milwaukee WI  53223-5220,Milwaukee,1,5412,3619,81,36190081,5509600,1126,43.142215,-87.983225,Report received,85
Bayfield Middle School ,Bayfield,Middle School,6,8,Public school,Regular,No,300 N 4th St  Bayfield WI  54814,Bayfield,12,16447,315,30,3150030,5500900,82,46.815143,-90.819396,Report received,85
Fox West Acad,Hortonville Area,Middle School,6,8,Public school,Regular,Charter,220 Warner St  Hortonville WI  54944,Outagamie,6,665,2583,220,25830220,5506600,2854,44.338461,-88.629055,Report received,85
George D Warriner High School,Sheboygan Area,High School,9,12,Public school,Regular,Charter,712 Riverfront Dr Ste 101  Sheboygan WI  53081,Sheboygan,7,288,5271,440,52710440,5513650,2695,43.747153,-87.712221,Report received,85
Hayward Middle School ,Hayward Community,Middle School,6,8,Public school,Regular,No,10408 N Greenwood Ln  Hayward WI  54843-6101,Sawyer,12,16656,2478,60,24780060,5506270,691,46.01086,-91.50337,Report received,85
Keefe Avenue Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,1618 W Keefe Ave  Milwaukee WI  53206-2359,Milwaukee,1,4563,3619,235,36190235,5509600,1196,43.082659,-87.931578,Report received,85
Kickapoo High School,Kickapoo Area,High School,6,12,Public school,Regular,No,S6520 State Highway 131  Viola WI  54664-8528,Vernon,3,15014,5960,20,59600020,5512540,1658,43.503495,-90.678871,Report received,85
Lane Intermediate,West Allis-West Milwaukee,Middle School,6,8,Public school,Regular,No,1300 S 109th St  West Allis WI  53214-2300,Milwaukee,1,918,6300,220,63000220,5516260,3004,43.018889,-88.047775,Report received,85
Les Paul Middle School ,Waukesha,Middle School,6,8,Public school,Regular,No,325 Carroll St  Waukesha WI  53186,Waukesha,1,3975,6174,120,61740120,5515780,2009,43.007056,-88.233072,Report received,85
Merrill Middle School ,Oshkosh Area,Middle School,6,8,Public school,Regular,No,108 W New York Ave  Oshkosh WI  54901-3795,Winnebago,6,17152,4179,240,41790240,5511190,1492,44.032275,-88.539996,Report received,85
Milwaukee Math and Science Aca,Milwaukee Math and Science Aca,Combined Elementary/Secondary School,K4,8,Non District Charter Schools,Regular,Charter,110 W Burleigh St  Milwaukee WI  53212,Milwaukee,1,670,8128,800,81280800,5500067,2898,43.075388,-87.911367,Report received,85
Neenah Creek Elementary ,Wisconsin Dells,Elementary School,KG,5,Public school,Regular,No,W8516 Highway X  Briggsville WI  53920,Marquette,5,9451,6678,50,66780050,5517040,551,43.65498,-89.5854,Report received,85
Northland Pines Middle School ,Northland Pines,Middle School,7,8,Public school,Regular,No,1800 Pleasure Island Road  Eagle River WI  54521-8927,Vilas,9,13710,1526,95,15260095,5503860,407,45.937382,-89.253007,Report received,85
NOVA,Milwaukee,High School,9,12,Public school,Alternative,No,2320 W Burleigh St  Milwaukee WI  53206-1751,Milwaukee,1,30932,3619,1072,36191072,5509600,843,43.075648,-87.941273,Report received,85
Oxford Elementary ,Westfield,Elementary School,K4,6,Public school,Regular,No,222 S Franklin Ave  Oxford WI  53952,Marquette,5,9717,6335,60,63350060,5516440,2149,43.779905,-89.572369,Report received,85
Point of Discovery Sch,Stevens Point Area Public,Junior High School,6,9,Public school,Regular,Charter,1900 Polk St  Stevens Point WI  54481-5875,Portage,5,1019,5607,290,56070290,5514490,3019,44.49804,-89.567496,Report received,85
Spooner Middle School ,Spooner Area,Middle School,5,8,Public school,Regular,No,750 Oak St  Spooner WI  54801,Washburn,11,16175,5474,100,54740100,5514220,1849,45.826821,-91.896002,Report received,85
Starms Early Childhood,Milwaukee,Elementary School,K3,0,Public school,Regular,No,2616 W Garfield Ave  Milwaukee WI  53205-1042,Milwaukee,1,4545,3619,149,36190149,5509600,1156,43.059649,-87.946823,Report received,85
Sugar Camp Elementary ,Three Lakes,Elementary School,K4,6,Public school,Regular,No,4066 Camp Four Rd  Rhinelander WI  54501-8621,Oneida,9,13580,5733,40,57330040,5514850,1927,45.790656,-89.322166,Report received,85
Townsend Street Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,3360 N Sherman Blvd  Milwaukee WI  53216-3559,Milwaukee,1,5094,3619,365,36190365,5509600,1258,43.080499,-87.966231,Report received,85
Victory Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,2222 W Henry Ave  Milwaukee WI  53221-4920,Milwaukee,1,5318,3619,387,36190387,5509600,1264,42.936871,-87.942721,Report received,85
Washburn Middle School ,Washburn,Middle School,7,8,Public school,Regular,No,305 W 4th Street  Washburn WI  54891,Bayfield,12,17059,6027,20,60270020,5515540,1984,46.673853,-90.897371,Report received,85
Washington Island Elementary ,Washington,Elementary School,K4,8,Public school,Regular,No,888 Main Rd  Washington Island WI  54246,Door,7,11751,6069,20,60690020,5515570,1986,45.36126,-86.928629,Report received,85
Adams-Friendship High School,Adams-Friendship Area,High School,9,12,Public school,Regular,No,1109 E North St  Adams WI  53910,Adams,5,9299,14,40,140040,5500060,5,43.965989,-89.802263,Report received,86
Adams-Friendship Middle School ,Adams-Friendship Area,Middle School,5,8,Public school,Regular,No,420 N Main St  Adams WI  53910,Adams,5,9300,14,210,140210,5500060,1454,43.963544,-89.817519,Report received,86
