State_Name,Votes,,
Alabama,2123372.00,,
Alaska,318608.00,,
Arizona,2573165.00,,
Arkansas,1130635.00,,
California,14181595.00,,
Colorado,2780247.00,,
Connecticut,1644920.00,,
Delaware,443814.00,,
District_of_Columbia,311268.00,,
Florida,9420039.00,,
Georgia,4114732.00,,
Hawaii,428937.00,,
Idaho,690255.00,,
Illinois,5536424.00,,
Indiana,2734958.00,,
Iowa,1566031.00,,
Kansas,1184402.00,,
Kentucky,1924149.00,,
Louisiana,2029032.00,,
Maine,747927.00,,
Maryland,2781446.00,,
Massachusetts,3325046.00,,
Michigan,4799284.00,,
Minnesota,2944813.00,,
Mississippi,1209357.00,,
Missouri,2808605.00,,
Montana,497147.00,,
Nebraska,844227.00,,
Nevada,1125385.00,,
New_Hampshire,744296.00,,
New_Jersey,3874046.00,,
New_Mexico,798319.00,,
New_York,7721453.00,,
North_Carolina,4741564.00,,
North_Dakota,344360.00,,
Ohio,5496487.00,,
Oklahoma,1452992.00,,
Oregon,2001336.00,,
Pennsylvania,6165478.00,,
Rhode_Island,464144.00,,
South_Carolina,2103027.00,,
South_Dakota,370093.00,,
Tennessee,2508027.00,,
Texas,8969226.00,,
Utah,1131430.00,,
Vermont,315067.00,,
Virginia,3984631.00,,
Washington,3317019.00,,
West_Virginia,714423.00,,
Wisconsin,2976150.00,,
Wyoming,255849.00,,